initial_set_size,final_mapped_size,final_unmapped_size,final_f1_macro,final_f1_micro,final_precision_macro,final_precision_micro,final_recall_macro,final_recall_micro,metrics_history,run
38,779,0,0.9043069608446966,0.97165991902834,0.90130246273978,0.97165991902834,0.9089173348806165,0.97165991902834,"[{'iteration': 1, 'initial_set_size': 38, 'f1_micro': 0.706777316735823, 'f1_macro': 0.20388627659092665, 'precision_micro': 0.706777316735823, 'precision_macro': 0.27792678176379365, 'recall_micro': 0.706777316735823, 'recall_macro': 0.20885628556093216, 'mapped_ratio': 1.0256739409499358, 'remaining_orphans_ratio': 0.023106546854942234}, {'iteration': 2, 'initial_set_size': 38, 'f1_micro': 0.9687924016282226, 'f1_macro': 0.9041024619375629, 'precision_micro': 0.9687924016282226, 'precision_macro': 0.8999988240427553, 'recall_micro': 0.9687924016282226, 'recall_macro': 0.9099100328651876, 'mapped_ratio': 1.0436456996148908, 'remaining_orphans_ratio': 0.005134788189987163}, {'iteration': 3, 'initial_set_size': 38, 'f1_micro': 0.9728997289972899, 'f1_macro': 0.9055355661122741, 'precision_micro': 0.9728997289972899, 'precision_macro': 0.901574413846195, 'recall_micro': 0.9728997289972899, 'recall_macro': 0.9111448658942867, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}, {'iteration': 4, 'initial_set_size': 38, 'f1_micro': 0.9715832205683356, 'f1_macro': 0.895237092655906, 'precision_micro': 0.9715832205683356, 'precision_macro': 0.8849077471795284, 'recall_micro': 0.9715832205683356, 'recall_macro': 0.909532727440043, 'mapped_ratio': 1.0462130937098844, 'remaining_orphans_ratio': 0.0025673940949935813}, {'iteration': 5, 'initial_set_size': 38, 'f1_micro': 0.972972972972973, 'f1_macro': 0.9057217876994245, 'precision_micro': 0.972972972972973, 'precision_macro': 0.9017890277361489, 'recall_micro': 0.972972972972973, 'recall_macro': 0.911298287261569, 'mapped_ratio': 1.0474967907573813, 'remaining_orphans_ratio': 0.0012836970474967907}, {'iteration': 6, 'initial_set_size': 38, 'f1_micro': 0.97165991902834, 'f1_macro': 0.9043069608446966, 'precision_micro': 0.97165991902834, 'precision_macro': 0.90130246273978, 'recall_micro': 0.97165991902834, 'recall_macro': 0.9089173348806165, 'mapped_ratio': 1.048780487804878, 'remaining_orphans_ratio': 0.0}]",1
38,776,3,0.8787693884960917,0.9661246612466124,0.8959425346889999,0.9661246612466124,0.8747334101232089,0.9661246612466124,"[{'iteration': 1, 'initial_set_size': 38, 'f1_micro': 0.6199158485273493, 'f1_macro': 0.25401156766730537, 'precision_micro': 0.6199158485273493, 'precision_macro': 0.3048268844258111, 'recall_micro': 0.6199158485273493, 'recall_macro': 0.27487325265034246, 'mapped_ratio': 1.012836970474968, 'remaining_orphans_ratio': 0.03594351732991014}, {'iteration': 2, 'initial_set_size': 38, 'f1_micro': 0.964625850340136, 'f1_macro': 0.8758409895174035, 'precision_micro': 0.964625850340136, 'precision_macro': 0.8943705911200157, 'recall_micro': 0.964625850340136, 'recall_macro': 0.8707159872506092, 'mapped_ratio': 1.0410783055198973, 'remaining_orphans_ratio': 0.007702182284980745}, {'iteration': 3, 'initial_set_size': 38, 'f1_micro': 0.9647218453188604, 'f1_macro': 0.8770747088328883, 'precision_micro': 0.9647218453188603, 'precision_macro': 0.895006957791686, 'recall_micro': 0.9647218453188603, 'recall_macro': 0.8724208071095872, 'mapped_ratio': 1.0436456996148908, 'remaining_orphans_ratio': 0.005134788189987163}, {'iteration': 4, 'initial_set_size': 38, 'f1_micro': 0.9661246612466124, 'f1_macro': 0.8787693884960917, 'precision_micro': 0.9661246612466124, 'precision_macro': 0.8959425346889999, 'recall_micro': 0.9661246612466124, 'recall_macro': 0.8747334101232089, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}, {'iteration': 5, 'initial_set_size': 38, 'f1_micro': 0.9661246612466124, 'f1_macro': 0.8787693884960917, 'precision_micro': 0.9661246612466124, 'precision_macro': 0.8959425346889999, 'recall_micro': 0.9661246612466124, 'recall_macro': 0.8747334101232089, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}]",2
38,776,3,0.9028073018588662,0.9688346883468835,0.8984115254972701,0.9688346883468835,0.9090979699954599,0.9688346883468835,"[{'iteration': 1, 'initial_set_size': 38, 'f1_micro': 0.7520891364902508, 'f1_macro': 0.2627757187470034, 'precision_micro': 0.7520891364902507, 'precision_macro': 0.30497112947056415, 'recall_micro': 0.7520891364902507, 'recall_macro': 0.30855636687873533, 'mapped_ratio': 1.0192554557124518, 'remaining_orphans_ratio': 0.029525032092426188}, {'iteration': 2, 'initial_set_size': 38, 'f1_micro': 0.966078697421981, 'f1_macro': 0.9009584386783656, 'precision_micro': 0.966078697421981, 'precision_macro': 0.8963311057044975, 'recall_micro': 0.966078697421981, 'recall_macro': 0.9075038206877645, 'mapped_ratio': 1.0436456996148908, 'remaining_orphans_ratio': 0.005134788189987163}, {'iteration': 3, 'initial_set_size': 38, 'f1_micro': 0.9688346883468835, 'f1_macro': 0.9028073018588662, 'precision_micro': 0.9688346883468835, 'precision_macro': 0.8984115254972701, 'recall_micro': 0.9688346883468835, 'recall_macro': 0.9090979699954599, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}, {'iteration': 4, 'initial_set_size': 38, 'f1_micro': 0.9688346883468835, 'f1_macro': 0.9028073018588662, 'precision_micro': 0.9688346883468835, 'precision_macro': 0.8984115254972701, 'recall_micro': 0.9688346883468835, 'recall_macro': 0.9090979699954599, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}]",3
38,779,0,0.9037269266969952,0.970310391363023,0.900341288194016,0.970310391363023,0.908779859198212,0.970310391363023,"[{'iteration': 1, 'initial_set_size': 38, 'f1_micro': 0.7619718309859155, 'f1_macro': 0.2902570883807946, 'precision_micro': 0.7619718309859155, 'precision_macro': 0.3382426979061072, 'recall_micro': 0.7619718309859155, 'recall_macro': 0.2985286154074404, 'mapped_ratio': 1.0089858793324775, 'remaining_orphans_ratio': 0.03979460847240052}, {'iteration': 2, 'initial_set_size': 38, 'f1_micro': 0.9675236806495264, 'f1_macro': 0.8853955774188296, 'precision_micro': 0.9675236806495264, 'precision_macro': 0.8815088842284557, 'recall_micro': 0.9675236806495264, 'recall_macro': 0.8940618554389741, 'mapped_ratio': 1.0462130937098844, 'remaining_orphans_ratio': 0.0025673940949935813}, {'iteration': 3, 'initial_set_size': 38, 'f1_micro': 0.9716216216216216, 'f1_macro': 0.9051771307374544, 'precision_micro': 0.9716216216216216, 'precision_macro': 0.9008106270086788, 'recall_micro': 0.9716216216216216, 'recall_macro': 0.9112489950006812, 'mapped_ratio': 1.0474967907573813, 'remaining_orphans_ratio': 0.0012836970474967907}, {'iteration': 4, 'initial_set_size': 38, 'f1_micro': 0.970310391363023, 'f1_macro': 0.9037269266969952, 'precision_micro': 0.970310391363023, 'precision_macro': 0.900341288194016, 'recall_micro': 0.970310391363023, 'recall_macro': 0.908779859198212, 'mapped_ratio': 1.048780487804878, 'remaining_orphans_ratio': 0.0}]",4
38,779,0,0.9026670515485509,0.9689608636977058,0.9012871155134708,0.9689608636977058,0.9057030350947521,0.9689608636977058,"[{'iteration': 1, 'initial_set_size': 38, 'f1_micro': 0.7228412256267409, 'f1_macro': 0.3007214514616094, 'precision_micro': 0.7228412256267409, 'precision_macro': 0.356395781899791, 'recall_micro': 0.7228412256267409, 'recall_macro': 0.3436060372122057, 'mapped_ratio': 1.0192554557124518, 'remaining_orphans_ratio': 0.029525032092426188}, {'iteration': 2, 'initial_set_size': 38, 'f1_micro': 0.967479674796748, 'f1_macro': 0.9027643336522421, 'precision_micro': 0.967479674796748, 'precision_macro': 0.8999316026178803, 'recall_micro': 0.967479674796748, 'recall_macro': 0.9074198225491229, 'mapped_ratio': 1.0449293966623876, 'remaining_orphans_ratio': 0.0038510911424903724}, {'iteration': 3, 'initial_set_size': 38, 'f1_micro': 0.9688768606224628, 'f1_macro': 0.9022795192122732, 'precision_micro': 0.9688768606224628, 'precision_macro': 0.900785946551464, 'recall_micro': 0.9688768606224628, 'recall_macro': 0.9055151370763623, 'mapped_ratio': 1.0462130937098844, 'remaining_orphans_ratio': 0.0025673940949935813}, {'iteration': 4, 'initial_set_size': 38, 'f1_micro': 0.9702702702702702, 'f1_macro': 0.9040749341048518, 'precision_micro': 0.9702702702702702, 'precision_macro': 0.9017597808594551, 'recall_micro': 0.9702702702702702, 'recall_macro': 0.9079958040541878, 'mapped_ratio': 1.0474967907573813, 'remaining_orphans_ratio': 0.0012836970474967907}, {'iteration': 5, 'initial_set_size': 38, 'f1_micro': 0.9689608636977058, 'f1_macro': 0.9026670515485509, 'precision_micro': 0.9689608636977058, 'precision_macro': 0.9012871155134708, 'recall_micro': 0.9689608636977058, 'recall_macro': 0.9057030350947521, 'mapped_ratio': 1.048780487804878, 'remaining_orphans_ratio': 0.0}]",5
