initial_set_size,final_mapped_size,final_unmapped_size,final_f1_macro,final_f1_micro,final_precision_macro,final_precision_micro,final_recall_macro,final_recall_micro,metrics_history,mapped_entities_indices,unmapped_entities_indices,initial_set_indices,final_embeddings,run
23,455,13,0.8792170407374484,0.8518518518518519,0.9126761377108528,0.8518518518518519,0.8601462313649122,0.8518518518518519,"{'f1_micro': [(139, 0.49137931034482757), (210, 0.6096256684491979), (263, 0.5958333333333333), (314, 0.5910652920962199), (337, 0.6114649681528662), (359, 0.6369047619047619), (376, 0.6657223796033994), (395, 0.6989247311827957), (405, 0.7277486910994765), (419, 0.7424242424242424), (427, 0.7574257425742573), (434, 0.781021897810219), (441, 0.7942583732057417), (443, 0.8071428571428572), (449, 0.823943661971831), (452, 0.8275058275058275), (454, 0.8352668213457076), (455, 0.8379629629629629), (455, 0.8518518518518519)], 'f1_macro': [(139, 0.29877529877529874), (210, 0.4160290450613031), (263, 0.3676257023774755), (314, 0.34453585295241945), (337, 0.4408773720979045), (359, 0.5566584855165065), (376, 0.6058254100020596), (395, 0.6817610811218666), (405, 0.7177132309726079), (419, 0.7516934701385158), (427, 0.7616204980590852), (434, 0.7934706530797554), (441, 0.8128240281971875), (443, 0.8253628762863345), (449, 0.8390694366324618), (452, 0.8408071446296237), (454, 0.8546363984160942), (455, 0.8558279035401836), (455, 0.8792170407374484)], 'precision_micro': [(139, 0.49137931034482757), (210, 0.6096256684491979), (263, 0.5958333333333333), (314, 0.5910652920962199), (337, 0.6114649681528662), (359, 0.6369047619047619), (376, 0.6657223796033994), (395, 0.6989247311827957), (405, 0.7277486910994765), (419, 0.7424242424242424), (427, 0.7574257425742574), (434, 0.781021897810219), (441, 0.7942583732057417), (443, 0.8071428571428572), (449, 0.823943661971831), (452, 0.8275058275058275), (454, 0.8352668213457076), (455, 0.8379629629629629), (455, 0.8518518518518519)], 'precision_macro': [(139, 0.6604793909436076), (210, 0.706934541493365), (263, 0.6794719542926256), (314, 0.6947768858407155), (337, 0.7230030681711355), (359, 0.730632776452835), (376, 0.747647786413146), (395, 0.8194912520917752), (405, 0.8330638227513228), (419, 0.8413691715650112), (427, 0.8397060546317169), (434, 0.8518808233093946), (441, 0.8565439851154136), (443, 0.8670938969001278), (449, 0.8801726267073384), (452, 0.8820696027328679), (454, 0.9066447175990172), (455, 0.9078050427712696), (455, 0.9126761377108528)], 'recall_micro': [(139, 0.49137931034482757), (210, 0.6096256684491979), (263, 0.5958333333333333), (314, 0.5910652920962199), (337, 0.6114649681528662), (359, 0.6369047619047619), (376, 0.6657223796033994), (395, 0.6989247311827957), (405, 0.7277486910994765), (419, 0.7424242424242424), (427, 0.7574257425742574), (434, 0.781021897810219), (441, 0.7942583732057417), (443, 0.8071428571428572), (449, 0.823943661971831), (452, 0.8275058275058275), (454, 0.8352668213457076), (455, 0.8379629629629629), (455, 0.8518518518518519)], 'recall_macro': [(139, 0.42020299520299526), (210, 0.5296434494195688), (263, 0.46090768718205), (314, 0.44101699076576256), (337, 0.5088682559270794), (359, 0.6090115766586355), (376, 0.5935622472387179), (395, 0.6660971766328909), (405, 0.717768719394907), (419, 0.7332917082917083), (427, 0.7490328394549174), (434, 0.7776095686902594), (441, 0.8063701446765964), (443, 0.8195712318892452), (449, 0.8275655253514856), (452, 0.8286728558524346), (454, 0.8306758161965567), (455, 0.8314712831247466), (455, 0.8601462313649122)], 'mapped_sizes': [(1, 139), (2, 210), (3, 263), (4, 314), (5, 337), (6, 359), (7, 376), (8, 395), (9, 405), (10, 419), (11, 427), (12, 434), (13, 441), (14, 443), (15, 449), (16, 452), (17, 454), (18, 455), (19, 455)], 'remaining_orphans': [(1, 329), (2, 258), (3, 205), (4, 154), (5, 131), (6, 109), (7, 92), (8, 73), (9, 63), (10, 49), (11, 41), (12, 34), (13, 27), (14, 25), (15, 19), (16, 16), (17, 14), (18, 13), (19, 13)]}","[388  12 176 206 274  79 447 297 147 120 387 143 304 285  22 253 227 385
 172  68 462  88 179 467 124 264 464 411   2 165   4  84  53 296  76  45
  86 137 149  28 369  30 353 256 248 129   3 103 377 399 328 146 432  10
 118 122 368 389 223 263  43 272  50 269  38 246  85 336 218  25 102  34
 219   6 222 268 283 322 226 302  20 209 132 216 463 386  75   1 173  49
   9 340 266 271 260 255   7 282 275 295 229  39 224 342 174  87 465 134
  90 104 357  48 277  63 221 305   0 395 466  35 249   5 306 251  32 267
  37   8  19 376 220 107  23 258 217 247  11 392 448  64 347 361 372 318
 346 397 106 314 201 410 109 425  44 373 117 231  91  36 329  26 352 360
 358  33  41  69 460 257 281 380 457 354 348 366 370 406 371 284 345 374
  99 190 159 359 416 111 390 355 344 450 127 141 461  59 449  73  29 150
 349 343  31  89 157 393 341 163 375 330 270 191 164 230 351 232 334  24
 444 405  74 108 196 453 308 327 242 364 245 152 420 160 290 189 254  21
  71 320 367 362 131 280  46 458 350 158 419 441 130 407 133 323 394  70
  93 125 313 337 418 356 317 423  52  78 259 421 140 293 436 422  17  18
 434 119 424 235 273  16 312 276 114 154  40 428 236 212  92 204 113 383
 454  94 142 398 415 244 446 414 413 148 309 115 243 289 331 123  27 440
  13 166 214 438 363 429 384 105  42 301 443  67 307 408  95 403 195 292
 439 237 382  83  61 136 210 451 417 252 303 234 404 401  82 412 400 310
 138 452 240 396 294 459 298 430 239 455 128  55  60 427 241  77  54 311
 379 193 332 225 316  81 338 279 456 286 238 177 161 175 228 100 207 135
 197 200 211 192 199 184 202 203 188 213 194 167 208 205 121 445 278 185
  62 162 324 325 321 180  80 319  56 187 233 339 183 300 265 365 437 101
 168 153 151 181  58 170 182  97 116 171 169 291 186 299  98 215 178 155
 262 381  57 409  66 431 145 139 288  96 126 198 287 426 335 402 326 333
 442 391  47 112 110]",[378  72  14 250 156  15  65 435 315 144 261  51 433],"[388  12 176 206 274  79 447 297 147 120 387 143 304 285  22 253 227 385
 172  68 462  88 179]","[[ 14.803834     7.85767    -26.264439   ...   8.4979       7.3046412
  -19.755352  ]
 [ 15.331306    -4.9234257  -16.238384   ...   4.438644     5.1453457
   -9.1079035 ]
 [ 16.557915     9.4735     -18.657194   ...  -4.072476     1.7021501
   -6.3838654 ]
 ...
 [ -1.7821736   -4.136992    -5.353257   ...  -4.281896    -0.46508232
    8.599605  ]
 [ -2.6754405   -3.801116    -6.7602596  ...  -0.8171586    4.946696
    4.2746696 ]
 [ -8.972993   -11.378588   -12.294791   ...  -8.886245     1.6245241
   26.311157  ]]",1
23,457,11,0.8592108307010411,0.847926267281106,0.8913915925939885,0.847926267281106,0.8512622057440868,0.847926267281106,"{'f1_micro': [(133, 0.32727272727272727), (211, 0.5), (266, 0.5349794238683128), (310, 0.5644599303135889), (333, 0.5838709677419355), (357, 0.6077844311377245), (373, 0.6428571428571429), (391, 0.6603260869565217), (406, 0.6997389033942559), (418, 0.7037974683544304), (431, 0.7254901960784313), (437, 0.7342995169082126), (445, 0.7417061611374408), (448, 0.7505882352941177), (451, 0.7710280373831775), (452, 0.801864801864802), (454, 0.8097447795823666), (455, 0.8171296296296295), (456, 0.8337182448036952), (457, 0.8433179723502304), (457, 0.847926267281106)], 'f1_macro': [(133, 0.19446932377966858), (211, 0.3346626971440241), (266, 0.3506523813593866), (310, 0.44980441954633305), (333, 0.5080597450025918), (357, 0.5817326758140702), (373, 0.6145028448411194), (391, 0.6517660646696616), (406, 0.7233356375887864), (418, 0.7241924446787892), (431, 0.7536403568017692), (437, 0.7624130432687055), (445, 0.780362862042758), (448, 0.7837893433915386), (451, 0.7883390014407226), (452, 0.8290456323583936), (454, 0.8324250807373168), (455, 0.8434859302956655), (456, 0.8512224913338079), (457, 0.8559477460341386), (457, 0.8592108307010411)], 'precision_micro': [(133, 0.32727272727272727), (211, 0.5), (266, 0.5349794238683128), (310, 0.5644599303135889), (333, 0.5838709677419355), (357, 0.6077844311377245), (373, 0.6428571428571429), (391, 0.6603260869565217), (406, 0.6997389033942559), (418, 0.7037974683544304), (431, 0.7254901960784313), (437, 0.7342995169082126), (445, 0.7417061611374408), (448, 0.7505882352941177), (451, 0.7710280373831776), (452, 0.8018648018648019), (454, 0.8097447795823666), (455, 0.8171296296296297), (456, 0.8337182448036952), (457, 0.8433179723502304), (457, 0.847926267281106)], 'precision_macro': [(133, 0.7231313131313131), (211, 0.6940127221457145), (266, 0.7508652928007767), (310, 0.7580532212885156), (333, 0.7671095760604197), (357, 0.7721056163589525), (373, 0.7957289374615456), (391, 0.7893739568803753), (406, 0.8024107003454307), (418, 0.8206766178464291), (431, 0.8357235481751385), (437, 0.840332338635371), (445, 0.8432942353784572), (448, 0.8459441731237949), (451, 0.8530871956483262), (452, 0.8681173236494729), (454, 0.8709863436110699), (455, 0.877607702637665), (456, 0.8834997504044216), (457, 0.8889650614771805), (457, 0.8913915925939885)], 'recall_micro': [(133, 0.32727272727272727), (211, 0.5), (266, 0.5349794238683128), (310, 0.5644599303135889), (333, 0.5838709677419355), (357, 0.6077844311377245), (373, 0.6428571428571429), (391, 0.6603260869565217), (406, 0.6997389033942559), (418, 0.7037974683544304), (431, 0.7254901960784313), (437, 0.7342995169082126), (445, 0.7417061611374408), (448, 0.7505882352941177), (451, 0.7710280373831776), (452, 0.8018648018648019), (454, 0.8097447795823666), (455, 0.8171296296296297), (456, 0.8337182448036952), (457, 0.8433179723502304), (457, 0.847926267281106)], 'recall_macro': [(133, 0.26695526695526695), (211, 0.40126494657451506), (266, 0.4034578441176834), (310, 0.4787378392217102), (333, 0.5052550594172506), (357, 0.5924327910464982), (373, 0.6239449209635545), (391, 0.6545201797924121), (406, 0.7150134940397684), (418, 0.6961084202145909), (431, 0.7336267034919153), (437, 0.7439211285790233), (445, 0.7556911618647991), (448, 0.7582303778617651), (451, 0.7643090103987988), (452, 0.8200077623949804), (454, 0.822195630156891), (455, 0.838745680157696), (456, 0.8452755436259455), (457, 0.8479845918470039), (457, 0.8512622057440868)], 'mapped_sizes': [(1, 133), (2, 211), (3, 266), (4, 310), (5, 333), (6, 357), (7, 373), (8, 391), (9, 406), (10, 418), (11, 431), (12, 437), (13, 445), (14, 448), (15, 451), (16, 452), (17, 454), (18, 455), (19, 456), (20, 457), (21, 457)], 'remaining_orphans': [(1, 335), (2, 257), (3, 202), (4, 158), (5, 135), (6, 111), (7, 95), (8, 77), (9, 62), (10, 50), (11, 37), (12, 31), (13, 23), (14, 20), (15, 17), (16, 16), (17, 14), (18, 13), (19, 12), (20, 11), (21, 11)]}","[208 220 444  39 316  99 154 383 299  73  93   7 360 442 180  31 381  92
 101 393 100 155 116 282  86 399   1 277 397 390  32 142  30 411 131 412
  64 271  90  11   4 386 389  20 219  10 218 258  23 251 395 227 149   9
 246 229 432 450   6 247 224 255 223   2   3 253 260 340   5  68  19  34
  37 388 268  89  25 269 425 275 257 263  50 216 428  45 231 408 221  84
 266   8 190 104 248 401 196 222 217 259 179 398 103 448 173 209 323 150
 380  28   0  76 226 129 449 427  87 387 400 230 322 306 124 423 249  29
 137  35 127 403 302 132 107  41  38 355 122  22 366 295 141 348  53 419
 134 297 371 274  36 108 353 392  48 361 406  91 357 420  85 347 130 462
 418  78 359  88 305 341 346 349 352 330 264 281 283 345 242 344 329 272
 267 334  26 191 342 414  49 159 369 336 446 368 201 358 317 164 102 374
 117  43 147 256 308 296 189 314  59 160 328 354 234 163 337 270 320 113
  46  69 443  44 416 109  54 370 290 421 146 422 413 407 440  52 123 429
 210  33 364 111  74 195 410 313 106 453 284 289 318 158 373  75 455 343
 372 350 467 415 367 125 441 375 376  70 385 362 356  40 377 118 120 152
 232 463 291 417 327 206 434  63  12 174 394 466 133 363 436 438 439 114
  13 254 405 464  67 157 105 293  21 465 273  71  24  17 447 140  60  16
 244 351  18 424 461 457 451 382 214 384 276 379 166 237  81  55 309 175
 138 458 307 148 292 460  94 331 165 310 115  95 182 187 252 203 243 245
  83 312 404 301 207 136 303 452 194 193 286 279 212 456 128 213 280 205
 197 153 161 183 202 192 185 181 199 454 200  62 188 204 184 240 294 396
 177 311 162  27  42 430 228 332 459  82 186  77 236  56 126 139 235 135
 225 437 211 298 238 239 288 241 121 143 151  97  61 300 431  57  96 409
 278 445 338 119 285 198 321 319  80 339 324 325 167  98 178 365 215 170
 265 402 262 169 168 233 171  58 176 335 287 172 326  66 426 333 145  47
  79 315 304 391 112 261 110]",[433  51  72 156  15 144  14 250 435  65 378],"[208 220 444  39 316  99 154 383 299  73  93   7 360 442 180  31 381  92
 101 393 100 155 116]","[[ 12.879917     7.6690173  -19.889484   ...   2.641206     7.6669307
  -11.833273  ]
 [ 15.393066    -1.4936706  -14.460725   ...   4.7930984    7.064016
   -5.7479224 ]
 [ 15.295598     7.5987353  -28.666851   ... -13.826526     0.17574468
   -6.9331813 ]
 ...
 [ -3.0011673    1.3155786  -14.913713   ...  -6.3955483   -3.5707672
   14.955708  ]
 [ -0.8059964    2.4558835  -12.692078   ...   1.8667567    6.5959997
    7.26136   ]
 [ -6.058075     0.5289043  -26.172585   ... -18.154812    -2.1848495
   37.243214  ]]",2
