initial_set_size,final_mapped_size,final_unmapped_size,mapped_entities_indices,unmapped_entities_indices,initial_set_indices,metrics_history,final_f1_macro,final_f1_micro,final_precision_macro,final_precision_micro,final_recall_macro,final_recall_micro,node_embeddings,run
9,245,16,"[236 126  94  54 105 197 179 102 172 195 125  87 176   7  95  85  89  29
   0 148  96 210 186 163   6 124 238   1 174 196 146 183 108  45 198  32
  20 157 229 168  39  82  77 137  35 132 160 169  40  99  83  97 153 152
 151  93 101  23  26 199  48 154 156 139 194 104  24 116  92 118 243 122
  31 232 145   2 234 127  98 170 201 112  51 143 147  33  38 113 240 182
 181 100 202  79 128 115 110  76 260  81  21  25 120 228 165 235 130  91
 180  69 114  47  90 142 203 193 225 224 158 205  11 155  63 166  19  43
   4 211   9  10 177  71 159 241  78 103 204 231 185  27  70 107 184 237
 222 259 206  22  64  30  12 230 141 109  88 218 242  53   8 213 219 164
   5 233  60 212 220  61 239  56 161 223  49  44  50 138  58  34  75  41
 133  57 111  55  46  28  36  62 214  74  73  59  68  15 248 119 136 129
 255  37 106 173  42 178  18 208 192 190 252 191 251 227 188 258  13 187
 189 216 226 221 254 257 144  52 256 217 209 253  72 250 150   3 149 200
  84 207 171 175 244 246 140 247 131 245 167]",[ 80  67 135  66  14  16  65 215 134 121 162  86 249 117  17 123],[236 126  94  54 105 197 179 102 172],"[{'iteration': 1, 'f1_micro': 0.8380952380952381, 'f1_macro': 0.5952380952380952, 'precision_micro': 0.8380952380952381, 'precision_macro': 0.9053571428571427, 'recall_micro': 0.8380952380952381, 'recall_macro': 0.5833850931677018, 'mapped_ratio': 0.47126436781609193, 'remaining_orphans_ratio': 0.5632183908045977}, {'iteration': 2, 'f1_micro': 0.8838709677419355, 'f1_macro': 0.6589656223164077, 'precision_micro': 0.8838709677419355, 'precision_macro': 0.9491346153846154, 'recall_micro': 0.8838709677419355, 'recall_macro': 0.6400375939849624, 'mapped_ratio': 0.6628352490421456, 'remaining_orphans_ratio': 0.3716475095785441}, {'iteration': 3, 'f1_micro': 0.9, 'f1_macro': 0.6818965040708189, 'precision_micro': 0.9, 'precision_macro': 0.9363742656153371, 'recall_micro': 0.9, 'recall_macro': 0.6788086981380665, 'mapped_ratio': 0.7586206896551724, 'remaining_orphans_ratio': 0.27586206896551724}, {'iteration': 4, 'f1_micro': 0.8934010152284264, 'f1_macro': 0.6789063451467544, 'precision_micro': 0.8934010152284264, 'precision_macro': 0.9336538461538462, 'recall_micro': 0.8934010152284264, 'recall_macro': 0.6752683615819209, 'mapped_ratio': 0.8237547892720306, 'remaining_orphans_ratio': 0.210727969348659}, {'iteration': 5, 'f1_micro': 0.9182692307692307, 'f1_macro': 0.6971521187157379, 'precision_micro': 0.9182692307692307, 'precision_macro': 0.946379781420765, 'recall_micro': 0.9182692307692307, 'recall_macro': 0.6980738993710692, 'mapped_ratio': 0.8659003831417624, 'remaining_orphans_ratio': 0.1685823754789272}, {'iteration': 6, 'f1_micro': 0.9269406392694064, 'f1_macro': 0.701755013495642, 'precision_micro': 0.9269406392694064, 'precision_macro': 0.9497354497354498, 'recall_micro': 0.9269406392694064, 'recall_macro': 0.7039526550623314, 'mapped_ratio': 0.9080459770114943, 'remaining_orphans_ratio': 0.12643678160919541}, {'iteration': 7, 'f1_micro': 0.9471365638766521, 'f1_macro': 0.7153343388637505, 'precision_micro': 0.947136563876652, 'precision_macro': 0.9604818825042881, 'recall_micro': 0.947136563876652, 'recall_macro': 0.720357454228422, 'mapped_ratio': 0.9386973180076629, 'remaining_orphans_ratio': 0.09578544061302682}, {'iteration': 8, 'f1_micro': 0.9563318777292577, 'f1_macro': 0.7217460317460318, 'precision_micro': 0.9563318777292577, 'precision_macro': 0.9668231974393531, 'recall_micro': 0.9563318777292577, 'recall_macro': 0.7268412789037968, 'mapped_ratio': 0.946360153256705, 'remaining_orphans_ratio': 0.08812260536398467}, {'iteration': 9, 'f1_micro': 0.9484978540772532, 'f1_macro': 0.8795256579099373, 'precision_micro': 0.9484978540772532, 'precision_macro': 0.9627082906070549, 'recall_micro': 0.9484978540772532, 'recall_macro': 0.8383019498893862, 'mapped_ratio': 0.9616858237547893, 'remaining_orphans_ratio': 0.07279693486590039}, {'iteration': 10, 'f1_micro': 0.9661016949152542, 'f1_macro': 0.8930328283297007, 'precision_micro': 0.9661016949152542, 'precision_macro': 0.9719584870958881, 'recall_micro': 0.9661016949152542, 'recall_macro': 0.8561596218020022, 'mapped_ratio': 0.9731800766283525, 'remaining_orphans_ratio': 0.06130268199233716}, {'iteration': 11, 'f1_micro': 0.9703389830508474, 'f1_macro': 0.9782409273173271, 'precision_micro': 0.9703389830508474, 'precision_macro': 0.9755642563266573, 'recall_micro': 0.9703389830508474, 'recall_macro': 0.9811596218020022, 'mapped_ratio': 0.9731800766283525, 'remaining_orphans_ratio': 0.06130268199233716}]",0.9782409273173271,0.9703389830508474,0.9755642563266573,0.9703389830508474,0.9811596218020022,0.9703389830508474,"[[  5.60383     -6.717225    -4.6567836   -1.1517467 ]
 [  3.765548    -6.029943    -4.660614     0.37931535]
 [  2.8129418   -5.922719    -3.9794757    2.1205223 ]
 ...
 [-11.085159    13.092087   -16.87029     -8.860605  ]
 [ -0.14974514  -3.8731353    4.0378513   -0.3011807 ]
 [  0.620234    -4.5957184    3.044648    -2.0198576 ]]",1
9,244,17,"[135 248  37 169 179  61 238  44  40 132  58 152  79  53  32 157  21 120
 103 222 172 112 151 252 118 174 258 153 235 203 160   6  47 228   2  24
  55 243 126  48  81 155   0 113 115 229 180  25  62  82  49  19 122 260
 124  33 156  18 154 145  20 128  50 142 225 236 240 218 130 146  51 139
 114  23 201 255 110 165 210 241 204 143 176  31  45  97 106  98 127  60
 202   7 147  26 183 125  22 119  27 137  29 111  54   1 232 234  36  94
 190 219 108  34 161  46  41 189 194  69 214 242 251  91  63  92  83 231
  99 191 233  71  56 197  89  10  77 205  87 224 192   9  11 237 195  39
 170 188  57  95 105 212 181  96 230  70  76  85  12 158   8 100 199 220
 148  90 182 223 213 196  75 186 239  42   5 259  35 107 254  28  38 131
 185 173  64 168 116  78  59 256 253 187  93 109 102  88 101 159  15 141
 177 163 193   4 198 184 221 104 166 149  43  74 250 136 257  13  73  30
  52 129 164 207 227 208 211 226 133 150 178 209 206 216   3 217 175 171
 246 200  84 134 138 247 244 144 245 140]",[167 123 215  80  67  86 117  68  17 162  16  66  14 249 121  65  72],[135 248  37 169 179  61 238  44  40],"[{'iteration': 1, 'f1_micro': 0.8787878787878788, 'f1_macro': 0.6705882352941177, 'precision_micro': 0.8787878787878788, 'precision_macro': 0.9400232919254659, 'recall_micro': 0.8787878787878788, 'recall_macro': 0.6664402173913043, 'mapped_ratio': 0.4482758620689655, 'remaining_orphans_ratio': 0.5862068965517241}, {'iteration': 2, 'f1_micro': 0.9130434782608695, 'f1_macro': 0.6904087533145727, 'precision_micro': 0.9130434782608695, 'precision_macro': 0.9392857142857143, 'recall_micro': 0.9130434782608695, 'recall_macro': 0.6919345898004434, 'mapped_ratio': 0.685823754789272, 'remaining_orphans_ratio': 0.3486590038314176}, {'iteration': 3, 'f1_micro': 0.9095477386934674, 'f1_macro': 0.6871902768284347, 'precision_micro': 0.9095477386934674, 'precision_macro': 0.9544817927170869, 'recall_micro': 0.9095477386934674, 'recall_macro': 0.6775070841108577, 'mapped_ratio': 0.8314176245210728, 'remaining_orphans_ratio': 0.20306513409961685}, {'iteration': 4, 'f1_micro': 0.9146919431279621, 'f1_macro': 0.6932261208576999, 'precision_micro': 0.9146919431279621, 'precision_macro': 0.9479478231970754, 'recall_micro': 0.9146919431279621, 'recall_macro': 0.6903907496012759, 'mapped_ratio': 0.8773946360153256, 'remaining_orphans_ratio': 0.15708812260536398}, {'iteration': 5, 'f1_micro': 0.908256880733945, 'f1_macro': 0.6867132867132868, 'precision_micro': 0.908256880733945, 'precision_macro': 0.9427724933728364, 'recall_micro': 0.908256880733945, 'recall_macro': 0.6819964493766159, 'mapped_ratio': 0.9042145593869731, 'remaining_orphans_ratio': 0.13026819923371646}, {'iteration': 6, 'f1_micro': 0.9327354260089686, 'f1_macro': 0.7046263001198623, 'precision_micro': 0.9327354260089686, 'precision_macro': 0.9582154088050314, 'recall_micro': 0.9327354260089686, 'recall_macro': 0.7023573390296003, 'mapped_ratio': 0.9233716475095786, 'remaining_orphans_ratio': 0.1111111111111111}, {'iteration': 7, 'f1_micro': 0.9347826086956522, 'f1_macro': 0.7055888876450092, 'precision_micro': 0.9347826086956522, 'precision_macro': 0.9546674418085901, 'recall_micro': 0.9347826086956522, 'recall_macro': 0.7066183743200108, 'mapped_ratio': 0.9501915708812261, 'remaining_orphans_ratio': 0.0842911877394636}, {'iteration': 8, 'f1_micro': 0.9568965517241379, 'f1_macro': 0.7221559367221005, 'precision_micro': 0.9568965517241379, 'precision_macro': 0.9679121725731895, 'recall_micro': 0.9568965517241379, 'recall_macro': 0.7264757451782583, 'mapped_ratio': 0.9578544061302682, 'remaining_orphans_ratio': 0.07662835249042145}, {'iteration': 9, 'f1_micro': 0.9658119658119658, 'f1_macro': 0.8932279737364484, 'precision_micro': 0.9658119658119658, 'precision_macro': 0.9724587912087912, 'recall_micro': 0.9658119658119658, 'recall_macro': 0.8558751086641554, 'mapped_ratio': 0.9655172413793104, 'remaining_orphans_ratio': 0.06896551724137931}, {'iteration': 10, 'f1_micro': 0.9659574468085106, 'f1_macro': 0.893299188663097, 'precision_micro': 0.9659574468085106, 'precision_macro': 0.9725131154156578, 'recall_micro': 0.9659574468085106, 'recall_macro': 0.855962643678161, 'mapped_ratio': 0.9693486590038314, 'remaining_orphans_ratio': 0.06513409961685823}, {'iteration': 11, 'f1_micro': 0.9659574468085106, 'f1_macro': 0.893299188663097, 'precision_micro': 0.9659574468085106, 'precision_macro': 0.9725131154156578, 'recall_micro': 0.9659574468085106, 'recall_macro': 0.855962643678161, 'mapped_ratio': 0.9693486590038314, 'remaining_orphans_ratio': 0.06513409961685823}]",0.893299188663097,0.9659574468085106,0.9725131154156578,0.9659574468085106,0.855962643678161,0.9659574468085106,"[[ 5.7266574  -1.8612697  -3.2436228  -1.1972592 ]
 [ 6.421707   -4.248377   -2.2198138   1.9332786 ]
 [ 6.4006386  -6.5842476  -1.720733    5.494439  ]
 ...
 [-5.3760557  21.35       -7.2844357   0.1839602 ]
 [ 3.3653843  -5.0292935   7.2764935   2.5843117 ]
 [ 2.975607   -3.9567382   5.1112223   0.09190544]]",2
9,248,13,"[216 103  32 246 176 163 170  79   4 100  98 130 127 132  40 143  76 151
 154  91  92  33  53  39 153 101 112  31 152 160 194  21 172  97 139 110
 147 125 145 157 155 126 186  82 148 146  69  95  49 104 114 118 168 195
   2 115  51   1 169  18  62  34   6 113  54  44 108 142 128 122  96 120
  77  47  26  83 156  48   0  19 137  45  81 124  99  25  94   7  50  71
 105 109 161 116 159  23  20  70 133 166 102  57  56 199  11  41 183 185
  78  75   8 179 228  90 119  55 210 260 174 184 244  46  89  36 106  10
 202   9  93  58  63 196  85  24 247  38  60 158 193 227  35  12  87 197
 111  61  74 232 255 241  73 180 201 203 234 236 204 192 213 191 190  27
  42 233 188 219 218 182  88 181 229  22 243 177 198 238 187 240 231 224
 235 230 225 222  29 189 223 258 165 248 242 220 251 239 214 237 252 253
 254 205 212  64 250 141 217  15 245  37 259 107 226 256 257 173 164 178
 206 134  13  28 136  59 129 209  52 208 207 211 221  67 215 200  84  68
  66  65 175 135  72 149 138   3 131  43 144 150 171 167]",[ 80  30  16 140 117   5  17  14  86 249 123 121 162],[216 103  32 246 176 163 170  79   4],"[{'iteration': 1, 'f1_micro': 0.8048780487804877, 'f1_macro': 0.7031674208144796, 'precision_micro': 0.8048780487804879, 'precision_macro': 0.8904109589041096, 'recall_micro': 0.8048780487804879, 'recall_macro': 0.6799999999999999, 'mapped_ratio': 0.3831417624521073, 'remaining_orphans_ratio': 0.6513409961685823}, {'iteration': 2, 'f1_micro': 0.8686131386861314, 'f1_macro': 0.5988060028480666, 'precision_micro': 0.8686131386861314, 'precision_macro': 0.9341755319148937, 'recall_micro': 0.8686131386861314, 'recall_macro': 0.5576797385620915, 'mapped_ratio': 0.5938697318007663, 'remaining_orphans_ratio': 0.44061302681992337}, {'iteration': 3, 'f1_micro': 0.9265536723163841, 'f1_macro': 0.698833769484583, 'precision_micro': 0.9265536723163842, 'precision_macro': 0.9563492063492063, 'recall_micro': 0.9265536723163842, 'recall_macro': 0.6926793444650587, 'mapped_ratio': 0.7471264367816092, 'remaining_orphans_ratio': 0.28735632183908044}, {'iteration': 4, 'f1_micro': 0.9479166666666666, 'f1_macro': 0.7132957660676211, 'precision_micro': 0.9479166666666666, 'precision_macro': 0.962113558294605, 'recall_micro': 0.9479166666666666, 'recall_macro': 0.7144897959183674, 'mapped_ratio': 0.8045977011494253, 'remaining_orphans_ratio': 0.22988505747126436}, {'iteration': 5, 'f1_micro': 0.9371980676328503, 'f1_macro': 0.7065695437053325, 'precision_micro': 0.9371980676328503, 'precision_macro': 0.956651376146789, 'recall_micro': 0.9371980676328503, 'recall_macro': 0.7068223443223444, 'mapped_ratio': 0.8620689655172413, 'remaining_orphans_ratio': 0.1724137931034483}, {'iteration': 6, 'f1_micro': 0.9439252336448598, 'f1_macro': 0.7125524141653174, 'precision_micro': 0.9439252336448598, 'precision_macro': 0.9594528178243774, 'recall_micro': 0.9439252336448598, 'recall_macro': 0.7156986531986532, 'mapped_ratio': 0.8888888888888888, 'remaining_orphans_ratio': 0.14559386973180077}, {'iteration': 7, 'f1_micro': 0.9545454545454546, 'f1_macro': 0.7195324359419866, 'precision_micro': 0.9545454545454546, 'precision_macro': 0.9686293436293437, 'recall_micro': 0.9545454545454546, 'recall_macro': 0.7205687830687831, 'mapped_ratio': 0.9118773946360154, 'remaining_orphans_ratio': 0.12260536398467432}, {'iteration': 8, 'f1_micro': 0.9646017699115044, 'f1_macro': 0.8884590824245996, 'precision_micro': 0.9646017699115044, 'precision_macro': 0.9680658502524438, 'recall_micro': 0.9646017699115044, 'recall_macro': 0.851170113512673, 'mapped_ratio': 0.9348659003831418, 'remaining_orphans_ratio': 0.09961685823754789}, {'iteration': 9, 'f1_micro': 0.9696969696969697, 'f1_macro': 0.8956007463358305, 'precision_micro': 0.9696969696969697, 'precision_macro': 0.9737892071060679, 'recall_micro': 0.9696969696969697, 'recall_macro': 0.8597713864306785, 'mapped_ratio': 0.9540229885057471, 'remaining_orphans_ratio': 0.08045977011494253}, {'iteration': 10, 'f1_micro': 0.9703389830508474, 'f1_macro': 0.9781150788501631, 'precision_micro': 0.9703389830508474, 'precision_macro': 0.9769955217637362, 'recall_micro': 0.9703389830508474, 'recall_macro': 0.9792825361512792, 'mapped_ratio': 0.9731800766283525, 'remaining_orphans_ratio': 0.06130268199233716}, {'iteration': 11, 'f1_micro': 0.9705882352941176, 'f1_macro': 0.9782440279152824, 'precision_micro': 0.9705882352941176, 'precision_macro': 0.9771070044839145, 'recall_micro': 0.9705882352941176, 'recall_macro': 0.9794286495352652, 'mapped_ratio': 0.9808429118773946, 'remaining_orphans_ratio': 0.05363984674329502}, {'iteration': 12, 'f1_micro': 0.9748953974895398, 'f1_macro': 0.9813224879850494, 'precision_micro': 0.9748953974895398, 'precision_macro': 0.9811147927678405, 'recall_micro': 0.9748953974895398, 'recall_macro': 0.9816007047980483, 'mapped_ratio': 0.9846743295019157, 'remaining_orphans_ratio': 0.04980842911877394}, {'iteration': 13, 'f1_micro': 0.9748953974895398, 'f1_macro': 0.9813224879850494, 'precision_micro': 0.9748953974895398, 'precision_macro': 0.9811147927678405, 'recall_micro': 0.9748953974895398, 'recall_macro': 0.9816007047980483, 'mapped_ratio': 0.9846743295019157, 'remaining_orphans_ratio': 0.04980842911877394}]",0.9813224879850494,0.9748953974895398,0.9811147927678405,0.9748953974895398,0.9816007047980483,0.9748953974895398,"[[  9.656135    -3.1405077   -3.9854798    2.3676438 ]
 [  8.490774    -5.7149153   -4.7942038    3.8591766 ]
 [  6.141379    -7.641627    -4.5511594    5.119816  ]
 ...
 [-13.188236    22.784174    -5.6129847   -0.59315735]
 [ -1.9114782   -1.2768518    4.756258    -0.39720944]
 [  1.6751168   -2.8722136    4.3113966   -1.6918555 ]]",3
9,244,17,"[180 222 258 190  12 213  61 165  32  98 228 174 147 160  20 114  36  18
 225  34  69 260 143  54  19 202  31  83 128  94 196 218 181 199  99  26
  10 112  22   2  44  60 137 124  40 152  95  50 191  58 104 101  75 145
 234 192 118  41 189 183 163  77 139 197  33   7 169 154  39   9  11 210
   8 125 146  30  29  25  97 110 103  49  45  55  76 232  51  62  79  38
  35  27  48 113 127  47  21  24   0 176 119 116 148  96   1 153  53 126
 179  23 115   6 235 229  87 186 134  82 132 201 231 203 243  88 105 188
 238  46 205 100  90 224 230  43 166 248  81  92  57 240 173 170  63 182
 198 130 187  91 195 194 219 204 236 155 251 120  85 157  89 233 108 142
 241 151 177 156  71 242 133  93 106 159 221 214 168 220 107 102 141  70
 109 252 212 255 193  78  15 185 164 223  74 111  42   5  73   4 184 158
 237  56 122 178 254 206 161 149  59 259 239  13 172  64 253 257 250 129
  52 256  37 208 211   3 136 144 207 209 175 226  67  28 138  72 150 171
  84 200 227 244  68 247 246 131 217 216]",[ 66  65  80  86 117  14  16 162 167  17 121 135 245 140 123 215 249],[180 222 258 190  12 213  61 165  32],"[{'iteration': 1, 'f1_micro': 0.5242718446601942, 'f1_macro': 0.4663003663003663, 'precision_micro': 0.5242718446601942, 'precision_macro': 0.7713160333642262, 'recall_micro': 0.5242718446601942, 'recall_macro': 0.51520572450805, 'mapped_ratio': 0.46360153256704983, 'remaining_orphans_ratio': 0.5708812260536399}, {'iteration': 2, 'f1_micro': 0.9171974522292994, 'f1_macro': 0.6996907854050711, 'precision_micro': 0.9171974522292994, 'precision_macro': 0.9453522149600582, 'recall_micro': 0.9171974522292994, 'recall_macro': 0.7049138804457953, 'mapped_ratio': 0.6704980842911877, 'remaining_orphans_ratio': 0.36398467432950193}, {'iteration': 3, 'f1_micro': 0.9109947643979057, 'f1_macro': 0.690219442772467, 'precision_micro': 0.9109947643979057, 'precision_macro': 0.9408355795148248, 'recall_micro': 0.9109947643979057, 'recall_macro': 0.689762443438914, 'mapped_ratio': 0.8007662835249042, 'remaining_orphans_ratio': 0.23371647509578544}, {'iteration': 4, 'f1_micro': 0.9068627450980392, 'f1_macro': 0.6895725041991871, 'precision_micro': 0.9068627450980392, 'precision_macro': 0.9323489377055095, 'recall_micro': 0.9068627450980392, 'recall_macro': 0.6974979149291076, 'mapped_ratio': 0.8505747126436781, 'remaining_orphans_ratio': 0.1839080459770115}, {'iteration': 5, 'f1_micro': 0.9023255813953488, 'f1_macro': 0.6865414327165844, 'precision_micro': 0.9023255813953488, 'precision_macro': 0.9323955102643627, 'recall_micro': 0.9023255813953488, 'recall_macro': 0.6909636699507389, 'mapped_ratio': 0.89272030651341, 'remaining_orphans_ratio': 0.1417624521072797}, {'iteration': 6, 'f1_micro': 0.9004524886877829, 'f1_macro': 0.6842985778880447, 'precision_micro': 0.9004524886877828, 'precision_macro': 0.9320129231633656, 'recall_micro': 0.9004524886877828, 'recall_macro': 0.6868956008721303, 'mapped_ratio': 0.9157088122605364, 'remaining_orphans_ratio': 0.11877394636015326}, {'iteration': 7, 'f1_micro': 0.9210526315789473, 'f1_macro': 0.6980261286882332, 'precision_micro': 0.9210526315789473, 'precision_macro': 0.9410855435291525, 'recall_micro': 0.9210526315789473, 'recall_macro': 0.705861581920904, 'mapped_ratio': 0.9425287356321839, 'remaining_orphans_ratio': 0.09195402298850575}, {'iteration': 8, 'f1_micro': 0.927038626609442, 'f1_macro': 0.7002175732217574, 'precision_micro': 0.927038626609442, 'precision_macro': 0.9488042091836735, 'recall_micro': 0.927038626609442, 'recall_macro': 0.7020939523350325, 'mapped_ratio': 0.9616858237547893, 'remaining_orphans_ratio': 0.07279693486590039}, {'iteration': 9, 'f1_micro': 0.9531914893617022, 'f1_macro': 0.7196796433404984, 'precision_micro': 0.9531914893617022, 'precision_macro': 0.9651585485289415, 'recall_micro': 0.9531914893617022, 'recall_macro': 0.7244812555396424, 'mapped_ratio': 0.9693486590038314, 'remaining_orphans_ratio': 0.06513409961685823}, {'iteration': 10, 'f1_micro': 0.9617021276595744, 'f1_macro': 0.7261843214120008, 'precision_micro': 0.9617021276595744, 'precision_macro': 0.9696740838982219, 'recall_micro': 0.9617021276595744, 'recall_macro': 0.7332965973274556, 'mapped_ratio': 0.9693486590038314, 'remaining_orphans_ratio': 0.06513409961685823}]",0.7261843214120008,0.9617021276595744,0.9696740838982219,0.9617021276595744,0.7332965973274556,0.9617021276595744,"[[ 4.95988    -4.5504537  -3.0815382  -1.4755305 ]
 [ 4.1916647  -5.3594904  -4.0786915   0.8971288 ]
 [ 3.314681   -5.4401536  -4.6860766   2.4092135 ]
 ...
 [-0.44366628 12.251791   -3.8894186  -5.611249  ]
 [ 0.5459424  -0.04693931  2.622951   -2.2485294 ]
 [ 0.25022164 -0.9446784   1.5474488  -1.9778205 ]]",4
9,249,12,"[ 52  69 172  99  57  82 208 234 204 146  31 222 237  19 116 169 241 240
  21   6 132  95  29 125 202 113   7 122 232 137  54 118 154 126 201 161
  96 127  18 130 236 145 219  83 152 220  35 210 205 228 229  38  98 153
   2 212 160  79 110 233 147  77 230   1 139 213 156 214 157 203 231 128
 218 114 242 206  22 239 238 112  94  40  97 103 115  48 151 124 163 243
 225  20 235  12 120  75 224 170 211 155  58 260 105 104  91  81 186  24
  53  76  59  25  50  47   8 158 148  43  92 226 179  11 101 176 174   9
  56 194 223  55 143 100  45  33  30  51 142 195  10  26 108  23  49 180
  62  34  63 209 216  32  70  27 164  44  78  46 166 159 184 133  89  90
 177 102  61 193 183 109 135 182 185 138 181  85  93  71 141 248 107 119
   0  42 255 111 196 165 259 199 197 215 227 106   4  84 217 168 253 189
 190 191  87 188 198 254 258 252 256 192 187 251  39  15 250 257  36 173
  60  74 221  88 178  64  73  41 134 144 136  13 149 207 129 131 175 140
 150   3  37  28 246 247 245 244  65  66 171   5 200  68  72]",[123  86 249  17 121  80 167  16 162  67  14 117],[ 52  69 172  99  57  82 208 234 204],"[{'iteration': 1, 'f1_micro': 0.8095238095238095, 'f1_macro': 0.6422616209342985, 'precision_micro': 0.8095238095238095, 'precision_macro': 0.8945492662473794, 'recall_micro': 0.8095238095238095, 'recall_macro': 0.6789529914529915, 'mapped_ratio': 0.39080459770114945, 'remaining_orphans_ratio': 0.6436781609195402}, {'iteration': 2, 'f1_micro': 0.8721804511278195, 'f1_macro': 0.6435596210119947, 'precision_micro': 0.8721804511278195, 'precision_macro': 0.9132246376811594, 'recall_micro': 0.8721804511278195, 'recall_macro': 0.6473408892763731, 'mapped_ratio': 0.578544061302682, 'remaining_orphans_ratio': 0.4559386973180077}, {'iteration': 3, 'f1_micro': 0.8928571428571429, 'f1_macro': 0.6624123003433349, 'precision_micro': 0.8928571428571429, 'precision_macro': 0.9121311802232855, 'recall_micro': 0.8928571428571429, 'recall_macro': 0.670247724974722, 'mapped_ratio': 0.7126436781609196, 'remaining_orphans_ratio': 0.3218390804597701}, {'iteration': 4, 'f1_micro': 0.8609625668449198, 'f1_macro': 0.6413046029851914, 'precision_micro': 0.8609625668449198, 'precision_macro': 0.8875953411667696, 'recall_micro': 0.8609625668449198, 'recall_macro': 0.6477359693877551, 'mapped_ratio': 0.7854406130268199, 'remaining_orphans_ratio': 0.24904214559386972}, {'iteration': 5, 'f1_micro': 0.9253731343283582, 'f1_macro': 0.695305023923445, 'precision_micro': 0.9253731343283582, 'precision_macro': 0.9414314662035026, 'recall_micro': 0.9253731343283582, 'recall_macro': 0.6998626373626373, 'mapped_ratio': 0.8390804597701149, 'remaining_orphans_ratio': 0.19540229885057472}, {'iteration': 6, 'f1_micro': 0.9209302325581395, 'f1_macro': 0.6947963392917521, 'precision_micro': 0.9209302325581395, 'precision_macro': 0.940401376146789, 'recall_micro': 0.9209302325581395, 'recall_macro': 0.6992766080577352, 'mapped_ratio': 0.89272030651341, 'remaining_orphans_ratio': 0.1417624521072797}, {'iteration': 7, 'f1_micro': 0.9234234234234234, 'f1_macro': 0.6970684825654399, 'precision_micro': 0.9234234234234234, 'precision_macro': 0.9392482517482517, 'recall_micro': 0.9234234234234234, 'recall_macro': 0.7057487468671679, 'mapped_ratio': 0.9195402298850575, 'remaining_orphans_ratio': 0.11494252873563218}, {'iteration': 8, 'f1_micro': 0.9210526315789473, 'f1_macro': 0.6953450908260299, 'precision_micro': 0.9210526315789473, 'precision_macro': 0.9382819781786282, 'recall_micro': 0.9210526315789473, 'recall_macro': 0.7029514903565166, 'mapped_ratio': 0.9425287356321839, 'remaining_orphans_ratio': 0.09195402298850575}, {'iteration': 9, 'f1_micro': 0.9347826086956522, 'f1_macro': 0.705550610323995, 'precision_micro': 0.9347826086956522, 'precision_macro': 0.950420972986896, 'recall_micro': 0.9347826086956522, 'recall_macro': 0.7111997341309404, 'mapped_ratio': 0.9501915708812261, 'remaining_orphans_ratio': 0.0842911877394636}, {'iteration': 10, 'f1_micro': 0.9570815450643777, 'f1_macro': 0.7216563270348828, 'precision_micro': 0.9570815450643777, 'precision_macro': 0.9651232825145869, 'recall_micro': 0.9570815450643777, 'recall_macro': 0.728813559322034, 'mapped_ratio': 0.9616858237547893, 'remaining_orphans_ratio': 0.07279693486590039}, {'iteration': 11, 'f1_micro': 0.9533898305084746, 'f1_macro': 0.7189095374108471, 'precision_micro': 0.9533898305084746, 'precision_macro': 0.9647890534512926, 'recall_micro': 0.9533898305084746, 'recall_macro': 0.7231023556963769, 'mapped_ratio': 0.9731800766283525, 'remaining_orphans_ratio': 0.06130268199233716}, {'iteration': 12, 'f1_micro': 0.9581589958158996, 'f1_macro': 0.7223949830956014, 'precision_micro': 0.9581589958158996, 'precision_macro': 0.9680405752439651, 'recall_micro': 0.9581589958158996, 'recall_macro': 0.7270138358373652, 'mapped_ratio': 0.9846743295019157, 'remaining_orphans_ratio': 0.04980842911877394}, {'iteration': 13, 'f1_micro': 0.9625000000000001, 'f1_macro': 0.9723949830956014, 'precision_micro': 0.9625, 'precision_macro': 0.9701048951048952, 'recall_micro': 0.9625, 'recall_macro': 0.9750180375180375, 'mapped_ratio': 0.9885057471264368, 'remaining_orphans_ratio': 0.04597701149425287}, {'iteration': 14, 'f1_micro': 0.9666666666666667, 'f1_macro': 0.9753324341100077, 'precision_micro': 0.9666666666666667, 'precision_macro': 0.9737139978665402, 'recall_micro': 0.9666666666666667, 'recall_macro': 0.9771013708513708, 'mapped_ratio': 0.9885057471264368, 'remaining_orphans_ratio': 0.04597701149425287}]",0.9753324341100077,0.9666666666666667,0.9737139978665402,0.9666666666666667,0.9771013708513708,0.9666666666666667,"[[  3.0434446   -9.053523    -4.3276296   -4.258701  ]
 [  3.4227989   -8.846727    -6.46178     -1.4787278 ]
 [  2.465646    -7.7113805   -6.76585      1.4712797 ]
 ...
 [-16.728363    17.68602    -17.60597     -8.2403345 ]
 [ -3.356755    -5.5167403   -0.49685556  -7.8013306 ]
 [ -1.4216439   -4.2713084    1.2825534   -4.20781   ]]",5
