initial_set_size,final_mapped_size,final_unmapped_size,final_f1_macro,final_f1_micro,final_precision_macro,final_precision_micro,final_recall_macro,final_recall_micro,metrics_history,mapped_entities_indices,unmapped_entities_indices,initial_set_indices,final_embeddings,run
9,218,43,1.0,1.0,1.0,1.0,1.0,1.0,"{'f1_micro': [(94, 0.7176470588235294), (155, 0.9726027397260274), (187, 0.9438202247191011), (208, 0.9698492462311558), (215, 1.0), (217, 1.0), (218, 0.9952153110047847), (218, 1.0)], 'f1_macro': [(94, 0.4491586557310207), (155, 0.9807626245276537), (187, 0.8789562948467058), (208, 0.8940449812160338), (215, 1.0), (217, 1.0), (218, 0.9951704281601188), (218, 1.0)], 'precision_micro': [(94, 0.7176470588235294), (155, 0.9726027397260274), (187, 0.9438202247191011), (208, 0.9698492462311558), (215, 1.0), (217, 1.0), (218, 0.9952153110047847), (218, 1.0)], 'precision_macro': [(94, 0.8923611111111112), (155, 0.9833333333333334), (187, 0.9581640847093027), (208, 0.9837432614555256), (215, 1.0), (217, 1.0), (218, 0.9948979591836735), (218, 1.0)], 'recall_micro': [(94, 0.7176470588235294), (155, 0.9726027397260274), (187, 0.9438202247191011), (208, 0.9698492462311558), (215, 1.0), (217, 1.0), (218, 0.9952153110047847), (218, 1.0)], 'recall_macro': [(94, 0.4178321678321678), (155, 0.9785714285714286), (187, 0.8415646853146854), (208, 0.8475490196078431), (215, 1.0), (217, 1.0), (218, 0.9955357142857143), (218, 1.0)], 'mapped_sizes': [(1, 94), (2, 155), (3, 187), (4, 208), (5, 215), (6, 217), (7, 218), (8, 218)], 'remaining_orphans': [(1, 167), (2, 106), (3, 74), (4, 53), (5, 46), (6, 44), (7, 43), (8, 43)]}","[119 155 188  79  44 147  53  24 235  58 113 146  47  20 211 174   0 115
 127 134 126 207 187  43 260 173   6 152  87 190 120 144  83 179 158 156
 159 106  36 219 116  23 145 189 118  26 233 236  95 241  89  40  25 124
 108   2   7  90  93 110  69 164 242 169  82 183 204  50 151 220  22 114
 221  39 139  29  38 107 201 153 148 157 232 125 223 191 192  49   1  30
 112 167  35 154 182 243 231 165  46  56 224  70  32  92  55  60 132 128
 234 213  57  42 102  91 218 229 170 176  27 202 212 237 240 105  10  34
  94  31 206  98 143 180  41 214 239  19 225  97  21  51  48  54 228 210
 230  76  62 238  63 222  78  99  88 160  59  37  45 163  96 226 259 181
 142  33  72 184 193 130  67 198  18  71  11  81  12 137 150 203  64   8
 205 171 177  77 138 186  61 199 227 101 253 178 141 196 100 251 109  28
 254 194 185 197   4 104  75  66 166 195 250 257 248 256 255 252 217 168
 258  68]","[ 17  74 172 103  85 122 140 208 123   9  84 149  65 200 175   3 129 117
 121 216 246  73  86 249 133  14  80  52  13 209  16 161  15 247 111 131
 162 136 245 244   5 135 215]",[119 155 188  79  44 147  53  24 235],"[[ 13.535281   -11.042212    -8.956212    -3.214486  ]
 [  7.7993627   -6.86845     -5.9269085   -0.9783468 ]
 [  6.3693733   -5.5780373   -3.4721634   -1.6807066 ]
 ...
 [ -2.015316     8.220151    -5.593262    -1.8661022 ]
 [ -0.47184882  -4.61392      5.3138485    0.9572395 ]
 [  0.09800892 -14.936555    16.24551      5.166409  ]]",1
9,256,5,0.994219476388549,0.9919028340080972,0.9959349593495935,0.9919028340080972,0.9926470588235294,0.9919028340080972,"{'f1_micro': [(133, 0.5887096774193549), (183, 0.9425287356321839), (210, 0.9751243781094527), (235, 0.9513274336283186), (239, 0.9739130434782609), (244, 0.9787234042553191), (245, 0.9915254237288136), (247, 0.9873949579831933), (249, 0.9875), (250, 0.991701244813278), (251, 0.987603305785124), (252, 0.9917695473251029), (253, 0.9877049180327869), (254, 0.9877551020408163), (256, 0.9838056680161943), (256, 0.9919028340080972)], 'f1_macro': [(133, 0.18527918781725888), (183, 0.6949602122015915), (210, 0.8998485044532143), (235, 0.8810833928392046), (239, 0.897967733264357), (244, 0.9844417407520948), (245, 0.9939131019639494), (247, 0.9905927444398438), (249, 0.99111025219828), (250, 0.9941112808759868), (251, 0.9907804679166623), (252, 0.9941287878787879), (253, 0.9908478357648483), (254, 0.9912488690606184), (256, 0.9885148274185708), (256, 0.994219476388549)], 'precision_micro': [(133, 0.5887096774193549), (183, 0.9425287356321839), (210, 0.9751243781094527), (235, 0.9513274336283186), (239, 0.9739130434782609), (244, 0.9787234042553191), (245, 0.9915254237288136), (247, 0.9873949579831933), (249, 0.9875), (250, 0.991701244813278), (251, 0.987603305785124), (252, 0.9917695473251029), (253, 0.9877049180327869), (254, 0.9877551020408163), (256, 0.9838056680161943), (256, 0.9919028340080972)], 'precision_macro': [(133, 0.8971774193548387), (183, 0.9738716241213466), (210, 0.9860742705570292), (235, 0.9740196940390364), (239, 0.9845085470085471), (244, 0.9857772435897436), (245, 0.9957983193277311), (247, 0.99375), (249, 0.9919521654815773), (250, 0.9958333333333333), (251, 0.993801652892562), (252, 0.9958677685950413), (253, 0.9938524590163934), (254, 0.9938524590163934), (256, 0.9885148274185708), (256, 0.9959349593495935)], 'recall_micro': [(133, 0.5887096774193549), (183, 0.9425287356321839), (210, 0.9751243781094527), (235, 0.9513274336283186), (239, 0.9739130434782609), (244, 0.9787234042553191), (245, 0.9915254237288136), (247, 0.9873949579831933), (249, 0.9875), (250, 0.991701244813278), (251, 0.987603305785124), (252, 0.9917695473251029), (253, 0.9877049180327869), (254, 0.9877551020408163), (256, 0.9838056680161943), (256, 0.9919028340080972)], 'recall_macro': [(133, 0.25), (183, 0.6746632996632996), (210, 0.8557144076476613), (235, 0.8318646105983378), (239, 0.8536612758310871), (244, 0.9831601740403383), (245, 0.9921875), (247, 0.9876780626780627), (249, 0.9903055983564458), (250, 0.9925373134328358), (251, 0.9879918588873813), (252, 0.9925373134328358), (253, 0.9880730277185501), (254, 0.9889705882352942), (256, 0.9885148274185708), (256, 0.9926470588235294)], 'mapped_sizes': [(1, 133), (2, 183), (3, 210), (4, 235), (5, 239), (6, 244), (7, 245), (8, 247), (9, 249), (10, 250), (11, 251), (12, 252), (13, 253), (14, 254), (15, 256), (16, 256)], 'remaining_orphans': [(1, 128), (2, 78), (3, 51), (4, 26), (5, 22), (6, 17), (7, 16), (8, 14), (9, 12), (10, 11), (11, 10), (12, 9), (13, 8), (14, 7), (15, 5), (16, 5)]}","[ 91 104  49 201  90 131 132  99 208  77  78 163 114 160 198 145  38 110
 143 170  36 126  24  44  55  43  76 205 157  27  10  51  12 220 148  94
  98  89 207 105 108  31   7 151  81  87 118   0 115  30 204 183 112 193
 147 125 120 164  23 169  41  50   6 128 222  22  45  25 113  18 127 152
 191  66  42 156 153  82 142   2  95  39 233  48  53  93 100 144 103 139
   1 260  40 184  21  54 116  96 203  69 102  20 124  70 186  26 173  97
  35 174  58  19  60 194 140  63  56 134  47 130 190 107  83 101 179 141
 158 242 146  92  79 154  68 197 192 180  71  72 230 182 188  29 181 224
 213 196  62  46 218 119  88   5 176  64  85 187 195  37  61  11 155 171
 238  34 210  59 202 231 225 166 109 228 212 177 199  32  57 185 189 255
 237 229 161 214 227   8 254 241 248  33 206 259 150 223 239 138 251 252
 111 211   4 178  28 216 219 240 235 253 236 232  86  84 234 135 249 123
 258 257  75  16  14 246 256 250 121 244  17 149 159 162 245  80 117 226
 243  52 247  67 217 137 136 129 175  65 133 200   9 106  13  15 209 167
 221   3 172 122]",[168  74 215  73 165],[ 91 104  49 201  90 131 132  99 208],"[[ 16.034113   -13.5990305  -10.933102    -5.361085  ]
 [ 12.427789   -13.64406     -5.546029    -3.1267245 ]
 [ 10.404981   -10.870964    -4.819004    -3.3912919 ]
 ...
 [ -0.04876979  10.674498   -11.417179    -2.605382  ]
 [  4.438543    -7.741652     9.546748    -4.246523  ]
 [ 10.66824    -17.826183    23.973574   -10.968011  ]]",2
9,257,4,0.9941959921798631,0.9919354838709677,0.996,0.9919354838709677,0.9925373134328358,0.9919354838709677,"{'f1_micro': [(146, 0.48905109489051096), (203, 0.9742268041237113), (218, 0.9760765550239234), (242, 0.9828326180257511), (244, 0.9872340425531915), (247, 0.9873949579831933), (249, 0.9875), (251, 0.9917355371900827), (253, 0.9877049180327869), (254, 0.9918367346938776), (256, 0.9919028340080972), (257, 0.9919354838709677), (257, 0.9919354838709677)], 'f1_macro': [(146, 0.1765242313705055), (203, 0.9806974899140798), (218, 0.9812775751259336), (242, 0.9872735738861019), (244, 0.990929931226951), (247, 0.9906007644240269), (249, 0.9906881388233278), (251, 0.9940877304513669), (253, 0.9908403694117979), (254, 0.9941046658259773), (256, 0.9941377171215882), (257, 0.9941959921798631), (257, 0.9941959921798631)], 'precision_micro': [(146, 0.48905109489051096), (203, 0.9742268041237113), (218, 0.9760765550239234), (242, 0.9828326180257511), (244, 0.9872340425531915), (247, 0.9873949579831933), (249, 0.9875), (251, 0.9917355371900827), (253, 0.9877049180327869), (254, 0.9918367346938776), (256, 0.9919028340080972), (257, 0.9919354838709677), (257, 0.9919354838709677)], 'precision_macro': [(146, 0.8713235294117647), (203, 0.9875), (218, 0.9812775751259336), (242, 0.9917355371900827), (244, 0.9918300653594772), (247, 0.9938524590163934), (249, 0.9938524590163934), (251, 0.9959016393442623), (253, 0.9939516129032258), (254, 0.9959349593495935), (256, 0.996), (257, 0.996), (257, 0.996)], 'recall_micro': [(146, 0.48905109489051096), (203, 0.9742268041237113), (218, 0.9760765550239234), (242, 0.9828326180257511), (244, 0.9872340425531915), (247, 0.9873949579831933), (249, 0.9875), (251, 0.9917355371900827), (253, 0.9877049180327869), (254, 0.9918367346938776), (256, 0.9919028340080972), (257, 0.9919354838709677), (257, 0.9919354838709677)], 'recall_macro': [(146, 0.25675675675675674), (203, 0.9750730079265748), (218, 0.9812775751259336), (242, 0.9832875457875457), (244, 0.9900688559322034), (247, 0.9875907111756168), (249, 0.9877622377622377), (251, 0.9924242424242424), (253, 0.9879599567099567), (254, 0.9924242424242424), (256, 0.9924242424242424), (257, 0.9925373134328358), (257, 0.9925373134328358)], 'mapped_sizes': [(1, 146), (2, 203), (3, 218), (4, 242), (5, 244), (6, 247), (7, 249), (8, 251), (9, 253), (10, 254), (11, 256), (12, 257), (13, 257)], 'remaining_orphans': [(1, 115), (2, 58), (3, 43), (4, 19), (5, 17), (6, 14), (7, 12), (8, 10), (9, 8), (10, 7), (11, 5), (12, 4), (13, 4)]}","[255 156  96  84 165 168   3 129  26  19 201 218  69 221 158 133 154 147
 232 179 212 184  59  18 105 151 225 234  99 260 175 211 100 231 213 113
  54 144 223 188  33 214 240 243 159  44 102 206 193  83 239 203  93 186
  34  60  53 207 183  67  89 246  66 228  40 134 202  47 140  10 108 176
 157 205  90  25  98   6 169 229 185  97  61 142  65 153  94 163  77  50
  92  62  21 220 190 141  82 189  49  81 242  55  48 238  87  51 210  29
 191 222   0 136  39 200 152 174 187 127 119  56 148  31  78  58   7  79
  57  76 198 204 114  41 146 111 160 145 227 143  35 173 110 236  63   4
  95 233 241 126 125 155 254 118 115 109  70 196 107 124  45   1 235  22
 177 230 182   2 199 256 253 251 181 132  43  91  11 195  30  12  27 116
  42 139 252 197   5 180 237 112  20 257 224 128 130  71 166  46 250 219
 248  88 192  85  32 171  36 258   8 137 138 170 150  24 217 178  38  37
 226  68 172 120  86 101 131 135 249 247  16  15  17  28 164 121 104  14
 149  75 106 122  23 123 117  80  13  72 244  52 161 245 216   9 194 209
 162 208  74  73  64]",[103 215 167 259],[255 156  96  84 165 168   3 129  26],"[[ 16.16964     -7.8684964  -14.767655    -1.4057405 ]
 [ 12.953522    -7.2400956  -12.505668    -0.06048861]
 [  9.035885    -4.35656     -8.503447    -0.9728273 ]
 ...
 [ -6.548148     9.170282   -11.663157    -3.387543  ]
 [  2.2609947   -3.4544995   -4.258246     2.0536387 ]
 [ -6.2805333  -13.193112    14.136321     8.452983  ]]",3
9,217,44,1.0,1.0,1.0,1.0,1.0,1.0,"{'f1_micro': [(121, 0.6071428571428571), (168, 0.9622641509433962), (200, 0.9738219895287958), (216, 0.9758454106280193), (217, 0.9951923076923077), (217, 1.0)], 'f1_macro': [(121, 0.22963875205254514), (168, 0.7224630202958376), (200, 0.8992670672329846), (216, 0.8984450232851843), (217, 0.9154471544715447), (217, 1.0)], 'precision_micro': [(121, 0.6071428571428571), (168, 0.9622641509433962), (200, 0.9738219895287958), (216, 0.9758454106280193), (217, 0.9951923076923077), (217, 1.0)], 'precision_macro': [(121, 0.8990825688073394), (168, 0.9800766283524904), (200, 0.9876237623762376), (216, 0.983173076923077), (217, 0.9975728155339806), (217, 1.0)], 'recall_micro': [(121, 0.6071428571428571), (168, 0.9622641509433962), (200, 0.9738219895287958), (216, 0.9758454106280193), (217, 0.9951923076923077), (217, 1.0)], 'recall_macro': [(121, 0.2734375), (168, 0.7164323962516733), (200, 0.8533720930232558), (216, 0.8559470958194598), (217, 0.875), (217, 1.0)], 'mapped_sizes': [(1, 121), (2, 168), (3, 200), (4, 216), (5, 217), (6, 217)], 'remaining_orphans': [(1, 140), (2, 93), (3, 61), (4, 45), (5, 44), (6, 44)]}","[110 120  84 127 191 115 125  54  10 102   2  18  97 158  30 207 113 232
  89 116  63 164 142  34 179 210   0 238  44 172 105 174 118 114   6  27
 190  92  36  20  83 183  47  11 145  42 122 143 176 157 231  43   1 240
 246  94  29  22  28 152 132  50  87 165 159  46 124 169  82 170 211 204
  40 138  95 153 119 139  76 148 147 192 151  90  91 107  99  25  64 154
 189 218  78  93 260 146  77 202  39 141  69  31  58 228  45  38 126 201
 193   7  35  53 128 100 112 108 156  70 212 144  79 254 222 223  57 253
  96  21  19 239  72 214 225 229 181  51 219 155 224  62  59 241 230  49
  12  88   5 235  60 188  55 187 198  98 130  41  71 180 173 182 195 213
 237  81 236  56 166 177 248 185  48 186 259 134  37 220 205  61  85 140
 221 255 196 252 199 171 203 226 234 227 197 243 150   8 194 109 184 200
   4 250  75 251 167 168 242 217 106 111 233 206 257 258  32 256  68  67
 178]","[247  16 103 133 215  24 208  14  52 123  74 216  73 244 161  66  17 160
 162  13  33 121  15 175 245  86  65 117   3 104  23 209 135 137 163 149
  80  26   9 136 249 131 129 101]",[110 120  84 127 191 115 125  54  10],"[[ 27.807005   -13.780688     2.8656895    4.38045   ]
 [ 13.419369    -6.701983     1.4859395    2.4932702 ]
 [  8.5736      -5.953053     0.67661893   2.6363614 ]
 ...
 [ -6.0898705    5.9407573   -2.0404232   -2.249188  ]
 [ -1.135864    -1.3889024    1.7878081   -0.8163831 ]
 [ -3.3456187  -10.161217     7.5875554   -0.09309651]]",4
9,232,29,1.0,1.0,1.0,1.0,1.0,1.0,"{'f1_micro': [(99, 0.4888888888888889), (148, 0.9640287769784173), (183, 0.9540229885057472), (207, 0.9646464646464646), (216, 0.9710144927536232), (224, 0.9906976744186047), (229, 0.9954545454545455), (232, 1.0), (232, 1.0)], 'f1_macro': [(99, 0.22015625), (148, 0.972515385656715), (183, 0.9654416775599426), (207, 0.8932738095238095), (216, 0.8977911256683171), (224, 0.945371921594907), (229, 0.996775214655957), (232, 1.0), (232, 1.0)], 'precision_micro': [(99, 0.4888888888888889), (148, 0.9640287769784173), (183, 0.9540229885057471), (207, 0.9646464646464646), (216, 0.9710144927536232), (224, 0.9906976744186047), (229, 0.9954545454545455), (232, 1.0), (232, 1.0)], 'precision_macro': [(99, 0.867816091954023), (148, 0.9716853408029879), (183, 0.9642586580086581), (207, 0.9738354506957048), (216, 0.9825317604355717), (224, 0.9127604166666666), (229, 0.9975), (232, 1.0), (232, 1.0)], 'recall_micro': [(99, 0.4888888888888889), (148, 0.9640287769784173), (183, 0.9540229885057471), (207, 0.9646464646464646), (216, 0.9710144927536232), (224, 0.9906976744186047), (229, 0.9954545454545455), (232, 1.0), (232, 1.0)], 'recall_macro': [(99, 0.28409090909090906), (148, 0.9736539346525541), (183, 0.9675705898797875), (207, 0.8545454545454546), (216, 0.8551231176231177), (224, 0.9947368421052631), (229, 0.99609375), (232, 1.0), (232, 1.0)], 'mapped_sizes': [(1, 99), (2, 148), (3, 183), (4, 207), (5, 216), (6, 224), (7, 229), (8, 232), (9, 232)], 'remaining_orphans': [(1, 162), (2, 113), (3, 78), (4, 54), (5, 45), (6, 37), (7, 32), (8, 29), (9, 29)]}","[147 258 161 158 169   6  92  76 116  44 231 125 218 241 212 232  45  39
 164 229 152 154  50  47  90  53  95  35 219  25 145  79  31 202 134  93
  78  82  87 115 139 207  98   0 179  58  26  55  21 230 174 108  29 156
 151 236 260  18  49 255  54  94  60 205 126 113 124 146  97 112 235 127
  51 148 201  48 248 237 238 105 114 110 183 102 228  40  20 240  27 143
 128  19 176 118 157  36 153 251 210 257  96 182 214  42 220 198 211 234
  10 180 250  83  22   7  99 224  30  62 160 225 233 204 243 254  41 253
   1 107  88 213  46 252 256 223  56  57  89  38 120  68 203 206  34 239
  59 221 222 163 159 137 141 170 215 226  81  12 242 200 132  91  67   2
 217 208 199   5  77 190  32 130 197 191 227 144  61 193 181 155 177 196
  11  43  70 173 166  63 216  71  69 188 100 103 142 178 187  66  24   8
 259 209  33 195 119 189 109 192  23  65  28 246  52 194 150  15  37 185
  72 184   4 247 165   9 186  13  75 172  64 171 122  73  85  74]","[162 167  16 121 245 175 133  14  84 249 168   3 131 244 138  17 136 101
 129 106 111 149 117 135 104 123 140  80  86]",[147 258 161 158 169   6  92  76 116],"[[ 16.424494  -14.750608  -14.357243   -1.0844754]
 [  8.625576   -8.629833   -7.9299784  -3.6747155]
 [  7.7911277  -5.851819   -6.2338905  -4.9865565]
 ...
 [ -1.1002599   9.191997   -3.8910074  -0.9375713]
 [ -3.2980762  -5.6970124   2.0828273  -4.579238 ]
 [ -8.599348  -18.801176    5.8027134 -12.711593 ]]",5
